Units,words,mean_cn,sentence,sentence_tra
Unit3,tolerate,,I've learned to tolerate the pain.,我已经学会忍耐这疼痛了。
Unit3,flower,,Buy flowers for your girlfriend.,给你的女朋友买些花。
Unit3,gardening,n.园艺；园林工人的工作,Her greatest hobby is gardening; she loves plants.,她最大的爱好是园艺，她热爱植物。
Unit3,frame,n.构架，框，结构，体格v.构成，制定，给...装框架,The picture looks nice in this picture frame.,这幅画在这面画框里看起来很漂亮。
Unit3,root,n.根部，根源，词根v.生根，使固定,The tree's roots bring water in from the soil.,树根从泥土中汲取水分。
Unit3,banyan tree,悦榕庄（酒店名）. ,The roots of the Banyan Tree grow above and below the ground.,榕树的根生长在地上和地下。
Unit3,water lily,n. [植]睡莲,The Water Lily is a beautiful flower.,睡莲是种美丽的花。
Unit3,pond,n. 池塘,She and her father were fishing in the pond.,她和她父亲正在鱼塘边钓鱼。
Unit3,bark,,It scares me when the dog barks.,这狗叫的时候吓死我了。
Unit3,blossom,v. 开花，兴旺，长成n.（果树的）花,My garden becomes so colorful in the springtime when all the plants blossom.,在春天里我的花园是五彩缤纷的，因为所有的花都开了。
Unit3,ignore,v. 忽视，不理,Stop ignoring me--say something!,别无视我啊，说话！
Unit3,yulan magnolia, 玉兰,The Yulan Magnolia is native to central and eastern China.,玉兰花是中国中西部的一种本土花卉。
Unit3,vine,n.葡萄树，蔓生植物(如甜瓜)，攀缘植物；藤，蔓,Grapes grow on long vines.,葡萄长在蔓藤上。
Unit3,jasmine,n. 茉莉；淡黄色,Jasmine flowers give off a beautiful fragrance.,茉莉花散发出迷人的芳香。
Unit3,relative,n. 亲戚；关系物， 同类事物adj.相对的，有关系的,They fight often even though they are relatives.,他们虽然是亲戚，但是也常常打架。
Unit3,lotus,n. 莲花；荷花；莲饰,The lotus flower floats on the water.,莲花漂浮在水面上。
Unit3,enormous,"adj. 极大的, 巨大的, 庞大的;  ",That is one enormous cup of coffee!--How big is it?,那杯超大的咖啡！—它有多大啊？
Unit3,centimetre,n.厘米,One hundred centimetres is equal to one meter.,一百厘米等于一米。
Unit3,pad,n.衬垫；护具；便笺簿； （动物的）脚；浮叶v.填塞,You can use an iPad to write notes instead of a pad of paper.,你可以不用纸质的便签簿，而用iPad来记笔记。
Unit3,separate,adj. 各别的，不相连的v. 分开，分离,My parents got divorced and now live in separate houses. ,我的父母离婚了，现在分居。
Unit3,in the air,在空中；悬而未决；在流传中,The man was in the air for a long time. ,这男人在空中呆了很长时间。
Unit3,sweet-smelling,adj. 芳香的,I love this sweet-smelling perfume!,我爱这款芳香的香水。
Unit3,decorate,v.装饰，布置；把(勋章)授给(某人),We decorate the tree to celebrate Christmas.,我们装饰了这棵树来庆祝圣诞。
Unit3,cactus,n.仙人掌,A cactus is probably the worst thing to sit on.,仙人掌可能是最不好坐的东西了。
Unit3,litter,,We should clean up litter to keep the outdoors clean.,我们应该收拾下垃圾，保持室外干净整洁。
Unit3,float,n. 漂浮物;  vi. 漂浮;  散布;  漂泊;  vt. 使漂浮;  散布;  ,My will power makes me float in the air.,我的意志力让我漂浮在空中。
Unit3,trunk,n.树干；象鼻；(人)躯干；大衣箱；主体,The elephant raised his trunk in a salute.,大象举起鼻子表示敬礼。
Unit3,pitch,n.投掷；树脂；球场v.投掷；沥青覆盖；扎营,The girl pitches the softball.,这个女生（负责）投掷垒球。
Unit3,branch,n.树枝；分支(学科)；部门 ；办事处,I climbed a rope tied around a tree branch.,我沿着捆绑在树枝上的绳子爬上去。
Unit3,serve,v.为…服务；招待,The bartender served us with their best wine.,酒保用最好的酒招待我们。
Unit3,golden,adj.金黄色的；贵重的，极好的,"When wheat turns a golden color, it is ready to harvest.",当小麦变成金色，就到准备收割的时候了。
Unit3,ideal,"n. 理想;  典范;  最终目的;  adj. 理想的, 完美的;  想像的;  ",Her ideal weight is about twenty kilos lighter.,她理想的体重是大约轻20公斤。
Unit3,bush,n.灌木，灌木丛，矮树,Pick fruit from the bushes.,从灌木中摘下水果。
Unit3,longevity,n.长寿，长命；寿命,The couple's longevity gave them pleasure in old age.,这对夫妇因为长寿，所以在年老的时间里享受了很多快乐。
Unit3,moist,adj.(表面)潮湿的，湿润的,The shower is moist and wet.,浴室很潮湿。
Unit2,applause,n.鼓掌欢迎，欢呼,My talk was so popular that there was applause from everyone.,我的讲话太受欢迎了，每个人都鼓掌了。
Unit2,perfectly,adv. 完美地；完全地；无瑕疵地,Each table was set perfectly for the wedding reception.,婚宴招待用的每张桌子都已经摆放完美。
Unit2,curiosity,n. 好奇心,She showed a lot of curiosity about what was going on in the other room. ,她对另外一间屋子发生的事充满好奇。
Unit2,genius,n.天才；天资，天赋；才华,The kid is a genius; she can do high school math at age eight.,这个孩子是个天才，她八岁就能做高中数学题。
